Warband,Name,ImageNumber,GrandAlliance,WarbandType,CustomImage,Description
Garrek's Reavers,Garrek's Reavers,0,Chaos,Warband,,
Garrek's Reavers,Garrek Gorebeard,1,Chaos,,,
Garrek's Reavers,Blooded Saek,2,Chaos,,,
Garrek's Reavers,Karsus the Chained,3,Chaos,,,
Garrek's Reavers,Targor,4,Chaos,,,
Garrek's Reavers,Arnulf,5,Chaos,,,
Steelheart's Champions,Steelheart's Champions,0,Order,Warband,,
Steelheart's Champions,Severin Steelheart,1,Order,,,
Steelheart's Champions,Obryn the Bold,2,Order,,,
Steelheart's Champions,Angharad Brightshield,3,Order,,,
Sepulchral Guard,Sepulchral Guard,0,Death,Warband,,
Sepulchral Guard,The Sepulchral Warden,1,Death,,,
Sepulchral Guard,The Champion,2,Death,,,
Sepulchral Guard,The Harvester,3,Death,,,
Sepulchral Guard,The Prince of Dust,4,Death,,,
Sepulchral Guard,Inevitable Petitioner,5,Death,,,
Sepulchral Guard,Zealous Petitioner,6,Death,,,
Sepulchral Guard,Rising Petitioner,7,Death,,,
Ironskulls Boyz,Ironskulls Boyz,0,Destruction,Warband,,
Ironskulls Boyz,Gurzag Ironskull,1,Destruction,,,
Ironskulls Boyz,Bonekutta,2,Destruction,,,
Ironskulls Boyz,Hakka,3,Destruction,,,
Ironskulls Boyz,Basha,4,Destruction,,,
The Chosen Axes,The Chosen Axes,0,Order,Warband,,
The Chosen Axes,Fjul-Grimnir,1,Order,,,
The Chosen Axes,Tefk Flamebearer,2,Order,,,
The Chosen Axes,Vol Orrukbane,3,Order,,,
The Chosen Axes,Mad Maegrim,4,Order,,,
Spiteclaw's Swarm,Spiteclaw's Swarm,0,Chaos,Warband,,
Spiteclaw's Swarm,Skritch Spiteclaw,1,Chaos,,,
Spiteclaw's Swarm,Krrk the Almost-trusted,2,Chaos,,,
Spiteclaw's Swarm,The Lurking Skaven,3,Chaos,,,
Spiteclaw's Swarm,The Festering Skaven,4,Chaos,,,
Spiteclaw's Swarm,The Hungering Skaven,5,Chaos,,,
Magore's Fiends,Magore's Fiends,0,Chaos,Warband,,
Magore's Fiends,Magore Redhand,1,Chaos,,,
Magore's Fiends,Riptooth,2,Chaos,,,
Magore's Fiends,Zharkus the Bloodsighted,3,Chaos,,,
Magore's Fiends,Ghartok Flayskull,4,Chaos,,,
The Farstriders,The Farstriders,0,Order,Warband,,
The Farstriders,Sanson Farstrider,1,Order,,,
The Farstriders,Almeric Eagle-eye,2,Order,,,
The Farstriders,Elias Swiftblade,3,Order,,,
Stormsire's Cursebreakers,Stormsire's Cursebreakers,0,Order,Warband,,
Stormsire's Cursebreakers,Averon Stormsire,1,Order,,,
Stormsire's Cursebreakers,Ammis Dawnguard,2,Order,,,
Stormsire's Cursebreakers,Rastus the Charmed,3,Order,,,
Thorns of the Briar Queen,Thorns of the Briar Queen,0,Death,Warband,,
Thorns of the Briar Queen,The Briar Queen,1,Death,,,
Thorns of the Briar Queen,Varclawv the Cruel,2,Death,,,
Thorns of the Briar Queen,The Ever-hanged,3,Death,,,
Thorns of the Briar Queen,The Ironwretch,4,Death,,,
Thorns of the Briar Queen,The Exhumed,5,Death,,,
Thorns of the Briar Queen,The Silenced,6,Death,,,
Thorns of the Briar Queen,The Uncrowned,7,Death,,,
Eyes of the Nine,Eyes of the Nine,0,Chaos,Warband,,
Eyes of the Nine,Vortemis the All-seeing,1,Chaos,,,
Eyes of the Nine,K'charik,2,Chaos,,,
Eyes of the Nine,Narvia,3,Chaos,,,
Eyes of the Nine,Turosh,4,Chaos,,,
Eyes of the Nine,Blue Horror / Brimstone Horrors,5,Chaos,,,
Zarbag's Gitz,Zarbag's Gitz,0,Destruction,Warband,,
Zarbag's Gitz,Zarbag,1,Destruction,,,
Zarbag's Gitz,Snirk Sourtongue,2,Destruction,,,
Zarbag's Gitz,Drizgit da Squig Herder,3,Destruction,,,
Zarbag's Gitz,Bonekrakka,4,Destruction,,,
Zarbag's Gitz,Gobbaluk,5,Destruction,,,
Zarbag's Gitz,Prog da Netter,6,Destruction,,,
Zarbag's Gitz,Stikkit,7,Destruction,,,
Zarbag's Gitz,Redkap,8,Destruction,,,
Zarbag's Gitz,Dibbz,9,Destruction,,,
Godsworn Hunt,Godsworn Hunt,0,Chaos,Warband,,
Godsworn Hunt,Theddra Skull-scryer,1,Chaos,,,
Godsworn Hunt,Grundann Blood-Eye,2,Chaos,,,
Godsworn Hunt,Shond Head-Claimer,3,Chaos,,,
Godsworn Hunt,Jagathra,4,Chaos,,,
Godsworn Hunt,Ollo,5,Chaos,,,
Godsworn Hunt,Grawl,6,Chaos,,,
Mollog's Mob,Mollog's Mob,0,Destruction,Warband,,
Mollog's Mob,Mollog the Mighty,1,Destruction,,,
Mollog's Mob,Bat Squig,2,Destruction,,,
Mollog's Mob,Stalagsquig,3,Destruction,,,
Mollog's Mob,Spiteshroom,4,Destruction,,,
Thundrik's Profiteers,Thundrik's Profiteers,0,Order,Warband,,
Thundrik's Profiteers,Bjorgen Thundrik,1,Order,,,
Thundrik's Profiteers,Khazgan Drakkskewer,2,Order,,,
Thundrik's Profiteers,Dead-Eye Lund,3,Order,,,
Thundrik's Profiteers,Enrik Ironhail,4,Order,,,
Thundrik's Profiteers,Garodd Alensen,5,Order,,,
Ylthari's Guardians,Ylthari's Guardians,0,Order,Warband,,
Ylthari's Guardians,Ylthari,1,Order,,,
Ylthari's Guardians,Gallanghann of the Glade,2,Order,,,
Ylthari's Guardians,"Ahnslaine, Revenant Archer",3,Order,,,
